#chromosome	start	end	length
1	208219610	209780002	1560392
1	209780003	210419856	639853
1	210419857	211480199	1060342
1	211480200	211749745	269545
1	211749746	212270848	521102
1	212270849	212529985	259136
1	212529986	213160825	630839
1	213160826	213169627	8801
1	213169628	214500710	1331082
1	214500711	214819980	319269
1	214819981	215790932	970951
1	215790933	215799406	8473
1	215799407	217780453	1981046
1	217780454	218618677	838223
1	218618678	220150143	1531465
1	220150144	220369893	219749
1	220369894	221050366	680472
1	221050367	221059821	9454
1	221059822	222800631	1740809
1	222800632	223179494	378862
1	223179495	223710496	531001
1	223710497	224349821	639324
1	224349822	225540009	1190187
1	225540010	227179875	1639865
1	227179876	228280213	1100337
1	228280214	228599424	319210
1	228599425	229430033	830608
1	229430034	229789891	359857
1	229789892	230410019	620127
1	230410020	231477471	1067451
1	231477472	232170736	693264
1	232170737	232179526	8789
1	232179527	232940404	760877
1	232940405	233519994	579589
1	233519995	234450021	930026
1	234450022	234749243	299221
1	234749244	235890095	1140851
1	235890096	237067240	1177144
1	237067241	237750018	682777
1	237750019	237997903	247884
1	237997904	240070285	2072381
1	240070286	240079430	9144
1	240079431	241750033	1670602
1	241750034	241799481	49447
1	241799482	243660257	1860775
1	243660258	243669012	8754
1	243669013	245020019	1351006
1	245020020	245029978	9958
1	245029979	245860664	830685
1	245860665	245869848	9183
1	245869849	246920889	1051040
1	246920890	246929603	8713
1	246929604	247460571	530967
1	247460572	247697365	236793
1	247697366	249100844	1403478
1	249100845	Inf	Inf
2	-Inf	279931	Inf
2	279932	1631119	1351187
2	1631120	1799003	167883
2	1799004	3460624	1661620
2	3460625	3729465	268840
2	3729466	5830598	2101132
2	5830599	5839973	9374
2	5839974	7180025	1340051
2	7180026	7189354	9328
2	7189355	8870018	1680663
2	8870019	8999917	129898
2	8999918	9540090	540172
2	9540091	10938527	1398436
2	10938528	11720594	782066
2	11720595	11969090	248495
2	11969091	14770342	2801251
2	14770343	14779829	9486
2	14779830	16730079	1950249
2	16730080	16749178	19098
2	16749179	17690045	940866
2	17690046	17969956	279910
2	17969957	18760036	790079
2	18760037	18769992	9955
2	18769993	20130077	1360084
2	20130078	21368904	1238826
2	21368905	23970343	2601438
2	23970344	24249539	279195
2	24249540	25040081	790541
2	25040082	27889970	2849888
2	27889971	28630120	740149
2	28630121	29449927	819806
2	29449928	30950318	1500390
2	30950319	31628976	678657
2	31628977	32530383	901406
2	32530384	32719507	189123
2	32719508	33780325	1060817
2	33780326	33818435	38109
2	33818436	36771234	2952798
2	36771235	37488775	717540
2	37488776	38290996	802220
2	38290997	39219361	928364
2	39219362	42280171	3060809
2	42280172	44549981	2269809
2	44549982	46600969	2050987
2	46600970	46609971	9001
2	46609972	47600182	990210
2	47600183	48039952	439769
2	48039953	48820322	780369
2	48820323	48829963	9640
2	48829964	50140819	1310855
2	50140820	50149705	8885
2	50149706	51140016	990310
2	51140017	51259988	119971
2	51259989	54120024	2860035
2	54120025	54128877	8852
2	54128878	54840292	711414
2	54840293	55529951	689658
2	55529952	56101451	571499
2	56101452	56109213	7761
2	56109214	60681168	4571954
2	60681169	61729871	1048702
2	61729872	63271261	1541389
2	63271262	64149991	878729
2	64149992	64680005	530013
2	64680006	65319755	639749
2	65319756	66660002	1340246
2	66660003	66799987	139984
2	66799988	68400369	1600381
2	68400370	70169767	1769397
2	70169768	70670063	500295
2	70670064	71899831	1229767
2	71899832	73440374	1540542
2	73440375	73679990	239615
2	73679991	74320105	640114
2	74320106	74909765	589659
2	74909766	75890006	980240
2	75890007	75899910	9903
2	75899911	77740230	1840319
2	77740231	77749404	9173
2	77749405	81420349	3670944
2	81420350	81429756	9406
2	81429757	84920449	3490692
2	84920450	87019867	2099417
2	87019868	88390404	1370536
2	88390405	88879510	489105
2	88879511	95770158	6890647
2	95770159	96049789	279630
2	96049790	96850197	800407
2	96850198	97539320	689122
2	97539321	98270774	731453
2	98270775	98429988	159213
2	98429989	99170365	740376
2	99170366	99239931	69565
2	99239932	100010301	770369
2	100010302	100029406	19104
2	100029407	100890032	860625
2	100890033	101889962	999929
2	101889963	102440131	550168
2	102440132	103328050	887918
2	103328051	105880825	2552774
2	105880826	105889970	9144
2	105889971	108920036	3030065
2	108920037	108929431	9394
2	108929432	110370464	1441032
2	110370465	110376715	6250
2	110376716	110880045	503329
2	110880046	110889368	9322
2	110889369	111410839	521470
2	111410840	111926420	515580
2	111926421	112750984	824563
2	112750985	113979011	1228026
2	113979012	118580047	4601035
2	118580048	118709971	129923
2	118709972	119730891	1020919
2	119730892	119739968	9076
2	119739969	120733786	993817
2	120733787	121109737	375950
2	121109738	121740088	630350
2	121740089	122209550	469461
2	122209551	127810096	5600545
2	127810097	128949893	1139796
2	128949894	131090012	2140118
2	131090013	131809993	719980
2	131809994	133420163	1610169
2	133420164	133549986	129822
2	133549987	135210019	1660032
2	135210020	135929628	719608
2	135929629	136540010	610381
2	136540011	136629839	89828
2	136629840	145271056	8641216
2	145271057	145279147	8090
2	145279148	148672524	3393376
2	148672525	148698964	26439
2	148698965	149240575	541610
2	149240576	149278071	37495
2	149278072	149850789	572717
2	149850790	149868681	17891
2	149868682	152100975	2232293
2	152100976	152979980	879004
2	152979981	153490823	510842
2	153490824	153578474	87650
2	153578475	155300069	1721594
2	155300070	155309972	9902
2	155309973	157180688	1870715
2	157180689	157189777	9088
2	157189778	158160269	970491
2	158160270	158179306	19036
2	158179307	160080509	1901202
2	160080510	160629767	549257
2	160629768	162270821	1641053
2	162270822	162279070	8248
2	162279071	162870060	590989
2	162870061	163139753	269692
2	163139754	164460037	1320283
2	164460038	164468606	8568
2	164468607	165540103	1071496
2	165540104	165559970	19866
2	165559971	166531734	971763
2	166531735	167269898	738163
2	167269899	168100097	830198
2	168100098	168109117	9019
2	168109118	169621806	1512688
2	169621807	170789735	1167928
2	170789736	172330005	1540269
2	172330006	172339972	9966
2	172339973	172940010	600037
2	172940011	173359715	419704
2	173359716	174080034	720318
2	174080035	174229999	149964
2	174230000	175260098	1030098
2	175260099	176049189	789090
2	176049190	176790032	740842
2	176790033	177039660	249627
2	177039661	178090256	1050595
2	178090257	178408894	318637
2	178408895	179250004	841109
2	179250005	179979943	729938
2	179979944	182760045	2780101
2	182760046	182769998	9952
2	182769999	183620028	850029
2	183620029	183799941	179912
2	183799942	185800189	2000247
2	185800190	185809746	9556
2	185809747	186650070	840323
2	186650071	186679989	29918
2	186679990	187500681	820691
2	187500682	187629766	129084
2	187629767	189450148	1820381
2	189450149	192259458	2809309
2	192259459	193041434	781975
2	193041435	193049489	8054
2	193049490	196720222	3670732
2	196720223	197709474	989251
2	197709475	198260631	551156
2	198260632	198289575	28943
2	198289576	200790049	2500473
2	200790050	200797879	7829
2	200797880	201434408	636528
2	201434409	201729485	295076
2	201729486	202240616	511130
2	202240617	202759727	519110
2	202759728	203420021	660293
2	203420022	203639924	219902
2	203639925	204290324	650399
2	204290325	204826910	536585
2	204826911	206480037	1653126
2	206480038	207659761	1179723
2	207659762	208461658	801896
2	208461659	208639715	178056
2	208639716	209160555	520839
2	209160556	209219993	59437
2	209219994	210560148	1340154
2	210560149	210838140	277991
2	210838141	211450135	611994
2	211450136	211469993	19857
2	211469994	212240336	770342
2	212240337	212249961	9624
2	212249962	214012224	1762262
2	214012225	214019235	7010
2	214019236	215270112	1250876
2	215270113	216299713	1029600
2	216299714	216960469	660755
2	216960470	216978042	17572
2	216978043	217540123	562080
2	217540124	217549082	8958
2	217549083	218660188	1111105
2	218660189	220509169	1848980
2	220509170	222431285	1922115
2	222431286	222439496	8210
2	222439497	223160035	720538
2	223160036	223169978	9942
2	223169979	223780920	610941
2	223780921	223789900	8979
2	223789901	224740278	950377
2	224740279	224749694	9415
2	224749695	225630148	880453
2	225630149	225669996	39847
2	225669997	227660003	1990006
2	227660004	228199608	539604
2	228199609	230630046	2430437
2	230630047	232398924	1768877
2	232398925	233340194	941269
2	233340195	234739870	1399675
2	234739871	235401561	661690
2	235401562	235409179	7617
2	235409180	238000256	2591076
2	238000257	239359935	1359678
2	239359936	239969999	610063
2	239970000	239979913	9913
2	239979914	240500041	520127
2	240500042	240509587	9545
2	240509588	241070065	560477
2	241070066	Inf	Inf
3	-Inf	449918	Inf
3	449919	3080265	2630346
3	3080266	3198725	118459
3	3198726	4680761	1482035
3	4680762	5259956	579194
3	5259957	8670072	3410115
3	8670073	10379965	1709892
3	10379966	10970052	590086
3	10970053	11309784	339731
3	11309785	11880496	570711
3	11880497	15719989	3839492
3	15719990	16300149	580159
3	16300150	16347723	47573
3	16347724	17200090	852366
3	17200091	17209683	9592
3	17209684	21460024	4250340
3	21460025	21467498	7473
3	21467499	24160034	2692535
3	24160035	24169627	9592
3	24169628	25630803	1461175
3	25630804	25679882	49078
3	25679883	27460078	1780195
3	27460079	27479311	19232
3	27479312	28360501	881189
3	28360502	28369427	8925
3	28369428	30730002	2360574
3	30730003	30737787	7784
3	30737788	31700122	962334
3	31700123	31709967	9844
3	31709968	32490135	780167
3	32490136	33909825	1419689
3	33909826	35720064	1810238
3	35720065	35729268	9203
3	35729269	36750444	1021175
3	36750445	39229978	2479533
3	39229979	40570092	1340113
3	40570093	40578955	8862
3	40578956	41261687	682731
3	41261688	41279834	18146
3	41279835	42260689	980854
3	42260690	43099310	838620
3	43099311	44400175	1300864
3	44400176	45139507	739331
3	45139508	45720024	580516
3	45720025	50689983	4969958
3	50689984	51370358	680374
3	51370359	53919864	2549505
3	53919865	55500044	1580179
3	55500045	55509662	9617
3	55509663	56650011	1140348
3	56650012	57329857	679845
3	57329858	58080399	750541
3	58080400	58558980	478580
3	58558981	62250033	3691052
3	62250034	62359996	109962
3	62359997	63980995	1620998
3	63980996	64089492	108496
3	64089493	64600686	511193
3	64600687	64609707	9020
3	64609708	65340039	730331
3	65340040	65357693	17653
3	65357694	66420082	1062388
3	66420083	66459992	39909
3	66459993	69050400	2590407
3	69050401	69249991	199590
3	69249992	71000626	1750634
3	71000627	71009772	9145
3	71009773	71730000	720227
3	71730001	71739604	9603
3	71739605	72421967	682362
3	72421968	73439905	1017937
3	73439906	74410775	970869
3	74410776	74419436	8660
3	74419437	77691236	3271799
3	77691237	77699342	8105
3	77699343	78680045	980702
3	78680046	78689582	9536
3	78689583	86111589	7422006
3	86111590	86119987	8397
3	86119988	86990020	870032
3	86990021	87309466	319445
3	87309467	88100278	790811
3	88100279	88199440	99161
3	88199441	97590541	9391100
3	97590542	97669935	79393
3	97669936	98510624	840688
3	98510625	98539362	28737
3	98539363	99510090	970727
3	99510091	99519996	9905
3	99519997	100461907	941910
3	100461908	100949935	488027
3	100949936	101480634	530698
3	101480635	101579848	99213
3	101579849	105260221	3680372
3	105260222	105379246	119024
3	105379247	107520029	2140782
3	107520030	108399427	879397
3	108399428	111630210	3230782
3	111630211	114018646	2388435
3	114018647	118641391	4622744
3	118641392	120409583	1768191
3	120409584	121130965	721381
3	121130966	123679962	2548996
3	123679963	124370029	690066
3	124370030	124949914	579884
3	124949915	125820113	870198
3	125820114	126757552	937438
3	126757553	127291594	534041
3	127291595	129309455	2017860
3	129309456	130110002	800546
3	130110003	131109184	999181
3	131109185	131750348	641163
3	131750349	132419895	669546
3	132419896	133100014	680118
3	133100015	134089903	989888
3	134089904	135862356	1772452
3	135862357	136059790	197433
3	136059791	137780015	1720224
3	137780016	139098490	1318474
3	139098491	140280288	1181797
3	140280289	141168943	888654
3	141168944	141880186	711242
3	141880187	142779751	899564
3	142779752	145910384	3130632
3	145910385	146179959	269574
3	146179960	147100651	920691
3	147100652	147139252	38600
3	147139253	148871123	1731870
3	148871124	148879971	8847
3	148879972	149681455	801483
3	149681456	149689506	8050
3	149689507	150910123	1220616
3	150910124	151169646	259522
3	151169647	152172978	1003331
3	152172979	152177723	4744
3	152177724	152880020	702296
3	152880021	152889976	9955
3	152889977	153970319	1080342
3	153970320	154029912	59592
3	154029913	156390224	2360311
3	156390225	156879120	488895
3	156879121	157812310	933189
3	157812311	157828891	16580
3	157828892	158360879	531987
3	158360880	158389957	29077
3	158389958	158980013	590055
3	158980014	158989784	9770
3	158989785	159600088	610303
3	159600089	159609989	9900
3	159609990	160150010	540020
3	160150011	160159459	9448
3	160159460	160780141	620681
3	160780142	160798500	18358
3	160798501	164750324	3951823
3	164750325	164909785	159460
3	164909786	168800066	3890280
3	168800067	168869998	69931
3	168869999	169500083	630084
3	169500084	169719629	219545
3	169719630	170580913	861283
3	170580914	170729873	148959
3	170729874	172111715	1381841
3	172111716	172539439	427723
3	172539440	173990950	1451510
3	173990951	174009504	18553
3	174009505	178734549	4725044
3	178734550	178739876	5326
3	178739877	179290092	550215
3	179290093	179519789	229696
3	179519790	180320048	800258
3	180320049	180329043	8994
3	180329044	182630867	2301823
3	182630868	182639483	8615
3	182639484	183520216	880732
3	183520217	184648573	1128356
3	184648574	185199999	551425
3	185200000	185639804	439804
3	185639805	186281338	641533
3	186281339	187449961	1168622
3	187449962	188590226	1140264
3	188590227	188599906	9679
3	188599907	190020011	1420104
3	190020012	190578987	558975
3	190578988	191110079	531091
3	191110080	191119770	9690
3	191119771	193040030	1920259
3	193040031	193369995	329964
3	193369996	194150277	780281
3	194150278	194159790	9512
3	194159791	194990543	830752
3	194990544	196869899	1879355
3	196869900	197400162	530262
3	197400163	Inf	Inf
4	-Inf	3519996	Inf
4	3519997	4420007	900010
4	4420008	4429160	9152
4	4429161	5810000	1380839
4	5810001	6088991	278990
4	6088992	6620017	531025
4	6620018	6867748	247730
4	6867749	7431942	564193
4	7431943	8609995	1178052
4	8609996	10080076	1470080
4	10080077	10448827	368750
4	10448828	11392657	943829
4	11392658	11399979	7321
4	11399980	13540810	2140830
4	13540811	13619516	78705
4	13619517	15060186	1440669
4	15060187	15607857	547670
4	15607858	17510706	1902848
4	17510707	17889296	378589
4	17889297	20730175	2840878
4	20730176	20736665	6489
4	20736666	23793221	3056555
4	23793222	23799571	6349
4	23799572	24800595	1001023
4	24800596	25679840	879244
4	25679841	27020897	1341056
4	27020898	27029573	8675
4	27029574	30720671	3691097
4	30720672	30729920	9248
4	30729921	37440321	6710400
4	37440322	37449947	9625
4	37449948	38690048	1240100
4	38690049	38699960	9911
4	38699961	39300667	600706
4	39300668	39329421	28753
4	39329422	39870139	540717
4	39870140	40159708	289568
4	40159709	40810007	650298
4	40810008	40829873	19865
4	40829874	41680125	850251
4	41680126	42419328	739202
4	42419329	44680006	2260677
4	44680007	44709885	29878
4	44709886	46921113	2211227
4	46921114	46929939	8825
4	46929940	47570254	640314
4	47570255	48588909	1018654
4	48588910	52860155	4271245
4	52860156	52948834	88678
4	52948835	53460092	511257
4	53460093	53468566	8473
4	53468567	54340532	871965
4	54340533	54349735	9202
4	54349736	55130064	780328
4	55130065	56759880	1629815
4	56759881	57880113	1120232
4	57880114	57899984	19870
4	57899985	65140017	7240032
4	65140018	65148870	8852
4	65148871	66185041	1036170
4	66185042	66189928	4886
4	66189929	68480510	2290581
4	68480511	68499985	19474
4	68499986	69092183	592197
4	69092184	69199408	107224
4	69199409	70800128	1600719
4	70800129	71859966	1059837
4	71859967	72432362	572395
4	72432363	72438537	6174
4	72438538	73170068	731530
4	73170069	73189084	19015
4	73189085	73930364	741279
4	73930365	74369992	439627
4	74369993	75971032	1601039
4	75971033	75979719	8686
4	75979720	76570294	590574
4	76570295	77059807	489512
4	77059808	77700012	640204
4	77700013	78089906	389893
4	78089907	78631430	541523
4	78631431	78639634	8203
4	78639635	79200015	560380
4	79200016	79849757	649741
4	79849758	80820114	970356
4	80820115	81129964	309849
4	81129965	82361086	1231121
4	82361087	82379018	17931
4	82379019	83270944	891925
4	83270945	83849655	578710
4	83849656	84370067	520411
4	84370068	84379720	9652
4	84379721	85411957	1032236
4	85411958	85667189	255231
4	85667190	87680002	2012812
4	87680003	89018923	1338920
4	89018924	89570446	551522
4	89570447	89579934	9487
4	89579935	90160025	580090
4	90160026	90169946	9920
4	90169947	96070060	5900113
4	96070061	96089958	19897
4	96089959	98100091	2010132
4	98100092	98109896	9804
4	98109897	99790221	1680324
4	99790222	100578623	788401
4	100578624	103510718	2932094
4	103510719	103519514	8795
4	103519515	104060780	541265
4	104060781	104069762	8981
4	104069763	106150886	2081123
4	106150887	107159841	1008954
4	107159842	107840653	680811
4	107840654	107847839	7185
4	107847840	108830120	982280
4	108830121	109089673	259552
4	109089674	109670295	580621
4	109670296	109769942	99646
4	109769943	110631070	861127
4	110631071	110909998	278927
4	110909999	111430637	520638
4	111430638	111559551	128913
4	111559552	113340032	1780480
4	113340033	113509526	169493
4	113509527	114170706	661179
4	114170707	114828949	658242
4	114828950	119200043	4371093
4	119200044	119209384	9340
4	119209385	119950865	741480
4	119950866	120419853	468987
4	120419854	122250197	1830343
4	122250198	123269992	1019794
4	123269993	123813284	543291
4	123813285	123859621	46336
4	123859622	125590025	1730403
4	125590026	125599981	9955
4	125599982	128720012	3120030
4	128720013	128819933	99920
4	128819934	129780053	960119
4	129780054	129789364	9310
4	129789365	134070134	4280769
4	134070135	134077048	6913
4	134077049	141480554	7403505
4	141480555	141569385	88830
4	141569386	142150452	581066
4	142150453	142949864	799411
4	142949865	144130596	1180731
4	144130597	145039874	909277
4	145039875	145660039	620164
4	145660040	145668470	8430
4	145668471	146460860	792389
4	146460861	147179998	719137
4	147179999	148550589	1370590
4	148550590	148559898	9308
4	148559899	151500272	2940373
4	151500273	151509839	9566
4	151509840	153242364	1732524
4	153242365	154549210	1306845
4	154549211	155240705	691494
4	155240706	155529897	289191
4	155529898	156130104	600206
4	156130105	156839697	709592
4	156839698	158280956	1441258
4	158280957	158287622	6665
4	158287623	159090085	802462
4	159090086	159139734	49648
4	159139735	160260063	1120328
4	160260064	160279949	19885
4	160279950	164440360	4160410
4	164440361	164449966	9605
4	164449967	169190006	4740039
4	169190007	169849709	659702
4	169849710	170620754	771044
4	170620755	170989861	369106
4	170989862	174450079	3460217
4	174450080	174459685	9605
4	174459686	175410082	950396
4	175410083	175568761	158678
4	175568762	177100036	1531274
4	177100037	177109764	9727
4	177109765	178350747	1240982
4	178350748	178359978	9230
4	178359979	183710195	5350216
4	183710196	184948285	1238089
4	184948286	185681349	733063
4	185681350	Inf	Inf
5	-Inf	1469437	Inf
5	1469438	2750158	1280720
5	2750159	2759986	9827
5	2759987	5460433	2700446
5	5460434	5469323	8889
5	5469324	6600042	1130718
5	6600043	6759992	159949
5	6759993	7820279	1060286
5	7820280	7878759	58479
5	7878760	9030006	1151246
5	9030007	9039954	9947
5	9039955	10250045	1210090
5	10250046	10419374	169328
5	10419375	13860152	3440777
5	13860153	14719926	859773
5	14719927	16470415	1750488
5	16470416	16679993	209577
5	16679994	31320717	14640723
5	31320718	31559935	239217
5	31559936	32380007	820071
5	32380008	32789958	409950
5	32789959	33440623	650664
5	33440624	34009850	569226
5	34009851	34680096	670245
5	34680097	35069993	389896
5	35069994	35700014	630020
5	35700015	37189819	1489804
5	37189820	37810031	620211
5	37810032	37819110	9078
5	37819111	38400714	581603
5	38400715	39379851	979136
5	39379852	40760041	1380189
5	40760042	41159529	399487
5	41159530	41910984	751454
5	41910985	41929924	18939
5	41929925	43290114	1360189
5	43290115	43659817	369702
5	43659818	50120345	6460527
5	50120346	50129846	9500
5	50129847	50680232	550385
5	50680233	50689983	9750
5	50689984	52090086	1400102
5	52090087	52399970	309883
5	52399971	54460058	2060087
5	54460059	54529930	69871
5	54529931	55201503	671572
5	55201504	55209668	8164
5	55209669	56170757	961088
5	56170758	56219998	49240
5	56219999	57750135	1530136
5	57750136	58269876	519740
5	58269877	60820008	2550131
5	60820009	60839907	19898
5	60839908	61681136	841228
5	61681137	61689963	8826
5	61689964	63900161	2210197
5	63900162	63908245	8083
5	63908246	64860101	951855
5	64860102	65479693	619591
5	65479694	66440303	960609
5	66440304	66466200	25896
5	66466201	67590034	1123833
5	67590035	67597655	7620
5	67597656	68660296	1062640
5	68660297	68669939	9642
5	68669940	71490076	2820136
5	71490077	71529969	39892
5	71529970	72860253	1330283
5	72860254	73169342	309088
5	73169343	73930331	760988
5	73930332	74079460	149128
5	74079461	74640181	560720
5	74640182	74899638	259456
5	74899639	75620676	721037
5	75620677	75919478	298801
5	75919479	76640478	720999
5	76640479	76729650	89171
5	76729651	78070828	1341177
5	78070829	79749711	1678882
5	79749712	80521190	771478
5	80521191	80719287	198096
5	80719288	81570221	850933
5	81570222	81579158	8936
5	81579159	82830021	1250862
5	82830022	82939866	109844
5	82939867	86670075	3730208
5	86670076	86689994	19918
5	86689995	88011138	1321143
5	88011139	88018640	7501
5	88018641	89810076	1791435
5	89810077	90079999	269922
5	90080000	90661010	581010
5	90661011	90679306	18295
5	90679307	92921318	2242011
5	92921319	92929965	8646
5	92929966	94040700	1110734
5	94040701	94209308	168607
5	94209309	94850496	641187
5	94850497	94867482	16985
5	94867483	96071779	1204296
5	96071780	96369960	298180
5	96369961	98190800	1820839
5	98190801	98239809	49008
5	98239810	102360558	4120748
5	102360559	102888333	527774
5	102888334	106711498	3823164
5	106711499	106719741	8242
5	106719742	108520796	1801054
5	108520797	108529988	9191
5	108529989	110073588	1543599
5	110073589	110839147	765558
5	110839148	111491580	652432
5	111491581	111499952	8371
5	111499953	112170434	670481
5	112170435	112368300	197865
5	112368301	112920039	551738
5	112920040	112929962	9922
5	112929963	114460313	1530350
5	114460314	114469977	9663
5	114469978	115160689	690711
5	115160690	115818479	657789
5	115818480	118450017	2631537
5	118450018	118867225	417207
5	118867226	121400271	2533045
5	121400272	121789785	389513
5	121789786	122720234	930448
5	122720235	122729998	9763
5	122729999	123971393	1241394
5	123971394	123989346	17952
5	123989347	125800022	1810675
5	125800023	126149892	349869
5	126149893	126770095	620202
5	126770096	126889986	119890
5	126889987	127483086	593099
5	127483087	127648587	165500
5	127648588	130760039	3111451
5	130760040	130769528	9488
5	130769529	131280168	510639
5	131280169	132539871	1259702
5	132539872	133470572	930700
5	133470573	135399902	1929329
5	135399903	136310961	911058
5	136310962	136319667	8705
5	136319668	136952219	632551
5	136952220	139229723	2277503
5	139229724	139740006	510282
5	139740007	140189362	449355
5	140189363	140730059	540696
5	140730060	141699736	969676
5	141699737	142600019	900282
5	142600020	142609880	9860
5	142609881	143540019	930138
5	143540020	143549986	9966
5	143549987	145500083	1950096
5	145500084	145899340	399256
5	145899341	146760027	860686
5	146760028	147499891	739863
5	147499892	148382486	882594
5	148382487	151239783	2857296
5	151239784	153432325	2192541
5	153432326	154299841	867515
5	154299842	156180722	1880880
5	156180723	157248847	1068124
5	157248848	158630282	1381434
5	158630283	158749823	119540
5	158749824	159820320	1070496
5	159820321	160119938	299617
5	160119939	160713305	593366
5	160713306	161529808	816502
5	161529809	162860023	1330214
5	162860024	162949061	89037
5	162949062	167890792	4941730
5	167890793	168119934	229141
5	168119935	169020212	900277
5	169020213	169689962	669749
5	169689963	170720360	1030397
5	170720361	170739666	19305
5	170739667	171760283	1020616
5	171760284	172749961	989677
5	172749962	173370075	620113
5	173370076	173389463	19387
5	173389464	174930746	1541282
5	174930747	177039927	2109180
5	177039928	177540222	500294
